page_number_file_a,section_number_file_a,text_file_a,page_number_file_b,section_number_file_b,text_file_b,diff_score
8,11,"Principle 11: Banks must have information systems and analytical techniques that enable management to measure the credit risk inherent in all on- and off-balance sheet activities. The management information system should provide adequate information on the composition of the credit portfolio, including identification of any concentrations of risk.",15,11,"Principle 11: Banks must have information systems and analytical techniques that enable management to measure the credit risk inherent in all on- and off-balance sheet activities. The management information system should provide adequate information on the composition of the credit portfolio, including identification of any concentrations of risk.
Reference documents: BCP40.35, BCP40.39, BCP40.40, BCP40.44, LEX, SRP30.14–SRP30.18, SRP36 and Guidelines for counterparty credit risk management (December 2024).
49. Banks should have methodologies that enable them to quantify the risk involved in exposures to individual borrowers or counterparties. Banks should also be able to analyse credit risk at the product and portfolio level in order to identify any particular sensitivities or concentrations. The measurement of credit risk should take account of (i) the specific nature of the credit (loan, derivative, facility, etc) and its contractual and financial conditions (maturity, reference rate, etc);
(ii) the exposure profile until maturity in relation to potential market movements; (iii) the existence of collateral or guarantees; and (iv) the potential for default based on the internal risk rating. The analysis of credit risk data should be undertaken at an appropriate frequency with the results reviewed against relevant limits. Banks should use measurement techniques that are appropriate to the complexity and level of the risks involved in their activities, based on robust data and subject to periodic validation.
50. The effectiveness of a bank’s credit risk measurement process is highly dependent on the quality of management information systems. The information generated from such systems enables the board and all levels of management to fulfil their respective oversight roles, including determining the adequate level of capital that the bank should be holding. Therefore, the quality, detail and timeliness of information are critical. In particular, information on the composition and quality of the various portfolios, including on a consolidated bank basis, should permit management to assess quickly and accurately the level of credit risk that the bank has incurred through its various activities and determine whether the bank’s performance is meeting the credit risk strategy.
51. Banks should monitor actual exposures against established limits. It is important that banks have a management information system in place to ensure that exposures approaching risk limits are brought to the attention of senior management. All exposures should be included in a risk limit measurement system. The bank’s information system should be able to aggregate credit exposures to individual borrowers and counterparties and report on exceptions to credit risk limits on a meaningful and timely basis.
52. Banks should have policies and processes that provide a comprehensive bank-wide view of significant sources of concentration risk.[6] Exposures (including counterparty credit risk exposure) arising from off-balance sheet as well as on-balance sheet items included in both the banking book and trading book are captured.
Footnotes
[6] Concentration risk may result from credit, market and other risk where a bank is overly exposed to particular asset classes, products, collateral, currencies or funding sources, and is broader than exposures subject to large exposure requirements. Credit concentrations include exposures to single counterparties (including collateral credit protection and other commitments provided); groups of connected counterparties; counterparties in the same industry, economic sector or geographic region; and counterparties whose financial performance is dependent on the same activity or commodity (see BCP40.44, footnote 53).
53. Banks should have information systems in place that identify and aggregate on a timely basis exposures creating risk concentrations and large exposures to single counterparties or groups of connected counterparties and that facilitate active management of such exposures. The adequacy of the scope of information should be reviewed on a periodic basis by business line managers and senior management to ensure that it is sufficient for the complexity of the business. In addition, it should be sufficiently flexible so that the institution can generate forward-looking bank-wide scenario analyses that capture management’s interpretation of evolving market conditions and stressed conditions.
54. In many instances, due to a bank’s trade area, geographic location or lack of access to economically diverse borrowers or counterparties, avoiding or reducing concentrations may be extremely difficult. In addition, banks may want to capitalise on their expertise in a particular industry or economic sector. A bank may also determine that it is being adequately compensated for incurring certain concentrations of risk. Consequently, banks should not necessarily forego booking sound credits solely on the basis of concentration. Banks may need to make use of alternatives to reduce or mitigate concentrations. Such measures can include pricing for the additional risk, adopting appropriate credit risk mitigation measures (eg collateralisation), increasing holdings of capital to compensate for the additional risks and making use of loan participations in order to reduce dependency on a particular sector of the economy or group of related borrowers or counterparties. Banks must be careful not to enter into transactions with borrowers or counterparties they do not know or to engage in credit activities they do not fully understand simply for the sake of diversification
55. Banks may actively manage credit concentrations and other portfolio issues through mechanisms such as loan sales, credit derivatives, securitisation programs and other secondary loan markets.
However, mechanisms to deal with portfolio concentration issues involve risks that must also be identified and managed. Consequently, when banks decide to utilise these mechanisms, they need to first have policies and procedures, as well as adequate controls, in place.",0.9887
8,15,"Principle 15: Banks must ensure that the credit-granting function is being properly managed and that credit exposures are within levels consistent with prudential standards and internal limits. Banks should establish and enforce internal controls and other practices to ensure that exceptions to policies, procedures and limits are reported in a timely manner to the appropriate level of management for action.",17,14,"Principle 14: Banks must ensure that the credit-granting function is being properly managed and that credit exposures are within levels consistent with prudential standards and internal limits.
Banks should establish and enforce internal controls and other practices to ensure that exceptions to policies, procedures and limits are reported in a timely manner to the appropriate level of management for action.
Reference documents: BCP40.35, BCP40.40, BCP40.60.
61. The goal of credit risk management is to maintain a bank’s credit risk exposure within parameters set by the board of directors and senior management. The establishment and enforcement of internal controls, operating limits and other practices will help ensure that credit risk exposures do not exceed levels acceptable to the individual bank. Such a system will enable bank management to monitor adherence to the established credit risk objectives.
62. Limit systems should ensure that granting of credit exceeding certain predetermined levels receives prompt management attention. An appropriate limit system should assist management in controlling credit risk exposures, initiating discussion about opportunities and risks, and monitoring actual risk taking against predetermined credit risk tolerances.
63. Internal audits of the credit risk processes should be conducted on a periodic basis to determine that credit activities are in compliance with the bank’s credit policies and procedures, that credits are authorised within the guidelines established by the bank’s board of directors and that the existence, quality and value of individual credits are accurately being reported to senior management. Such audits should also be used to identify areas of weakness in the credit risk management process, policies and procedures as well as any exceptions to policies, procedures and limits.",0.9866
7,5,"Principle 5: Banks should establish overall credit limits at the level of individual borrowers and counterparties, and groups of connected counterparties that aggregate in a comparable and meaningful manner different types of exposures, both in the banking and trading book and on and off the balance sheet.",11,5,"Principle 5: Banks should establish overall credit limits at the level of individual borrowers and counterparties, and groups of connected counterparties that aggregate in a comparable and meaningful manner different types of exposures, both in the banking and trading book and on and off the balance sheet.
Reference documents: BCP40.35, BCP40.43, BCP40.44, SRP30.20–SRP30.28, SRP32.14–SRP32.27, LEX , BCBS
Stress testing principles (October 2018) and Guidelines for counterparty credit risk management (December
2024).
28. An important element of credit risk management is the establishment of exposure limits on single counterparties and groups of connected counterparties. Such limits are frequently based in part on the internal risk rating assigned to the borrower or counterparty, with borrowers or counterparties assigned better risk ratings having potentially higher exposure limits. Limits should also be established for particular industries or economic sectors, geographic regions and specific products.
29. Exposure limits are needed in all areas of the bank’s activities that involve credit risk. These limits help to ensure that the bank’s credit-granting activities are adequately diversified. As mentioned earlier, much of the credit exposure faced by some banks comes from activities and instruments in the trading book and off the balance sheet. Limits on such transactions are particularly effective in managing the overall credit risk profile or counterparty risk of a bank. In order to be effective, limits should generally be binding and not driven by customer demand.
30. Effective measures of future exposure, such as potential future exposures or alternative metrics, are essential for the establishment of meaningful limits, placing an upper bound on the overall scale of activity with, and exposure to, a given counterparty, based on a comparable measure of exposure across a bank’s various activities (both on- and off-balance sheet).
31. Banks should consider the results of stress testing in the overall limit setting and monitoring process. Such stress testing should take into consideration economic cycles, interest rate and other market movements, and liquidity conditions.
32. Bank’s credit limits should recognise and reflect the risks associated with the near-term liquidation of positions in the event of borrower or counterparty default. Limits should also factor in any unsecured exposure in a liquidation scenario. Where a bank has several transactions with a counterparty, its future exposure to that counterparty is likely to vary significantly and discontinuously over the maturity over which the measure of such exposure is calculated.
Measures of future exposures should therefore be calculated over multiple time horizons.",0.9844
7,3,"Principle 3: Banks should identify and manage credit risk inherent in all products and activities. Banks should ensure that the risks of products and activities new to them are subject to adequate risk management procedures and controls before being introduced or undertaken, and approved in advance by the board of directors or its appropriate committee.",8,3,"Principle 3: Banks should identify and manage credit risk inherent in all products and activities.
Banks should ensure that the risks of products and activities new to them are subject to adequate risk management procedures and controls before being introduced or undertaken and approved in advance by the board of directors or its appropriate committee.
Reference documents: BCP40.35, SRP30.10 and SRP30.13.
15. Banks should identify all credit risks inherent in the products they offer and the activities in which they engage, including all on-balance and off-balance sheet exposures. Such identification stems from a careful review of the existing and potential credit risk characteristics of the product or activity.
16. Banks should have a clear understanding of the credit risks involved in more complex credit- granting activities (for example, loans to certain industry sectors, securitisation activities, customer-written options, credit derivatives, credit-linked notes). This is particularly important because the credit risk involved, while not new to banking, may be less obvious and require more analysis than the risk of more traditional credit-granting activities. Although more complex credit- granting activities may require tailored procedures and controls, the basic principles of credit risk management will still apply.
17. It is critical that senior management determine that the staff involved in any activity where there is material credit risk (including counterparty credit risk), whether established or new, basic or more complex, be fully capable of conducting the activity to the highest standards and in compliance with the bank’s policies, procedures and limits.",0.9715
7,1,Principle 1: The board of directors should have responsibility for approving and periodically (at least annually) reviewing the credit risk strategy and significant credit risk policies of the bank. The strategy should reflect the bank’s tolerance for risk and the level of profitability the bank expects to achieve for incurring various credit risks.,6,1,"Principle 1: The board of directors should have responsibility for approving and periodically (at least annually) reviewing the credit risk strategy and significant credit risk policies of the bank. The strategy should reflect the bank’s tolerance for risk and the level of sustainable returns the bank expects to achieve for incurring various credit risks, taking into account market conditions, macroeconomic factors and forward-looking information.
Reference documents: BCP40.32, Corporate governance principles for banks (December 2015), SRP30.8,
BCP40.39, BCP40.35, BCP40.40(2), BCP02.
1. As with all other areas of a bank’s activities, the board of directors has a critical role to play in overseeing the credit-granting and credit risk management functions of the bank. Each bank should develop a credit risk strategy that establishes the objectives guiding the bank’s credit- granting activities and adopt the necessary policies and procedures for conducting such activities.
The credit risk strategy, as well as significant credit risk policies for identifying, measuring, evaluating, monitoring, reporting and controlling or mitigating credit risk (including counterparty credit risk), should be approved and periodically (at least annually) reviewed by the board of directors. The board oversees management in a way that ensures that these policies are implemented effectively and fully integrated into the bank’s overall risk management process.
The board needs to recognise that the strategy and policies must cover the many activities of the bank in which credit exposure is a significant risk.
2. The credit risk strategy should include a statement of the bank’s willingness to grant credit based on exposure type (for example, commercial, consumer, real estate), economic sector, geographical location, currency, maturity and anticipated profitability. This might also include the identification of target markets and the overall characteristics that the bank would want to achieve in its credit portfolio (including levels of diversification and concentration tolerances).
3. The credit risk strategy should be approved and regularly reviewed (at least annually) by the board and give recognition to the goals of credit quality, earnings and growth.
4. The credit risk strategy of any bank should provide continuity in approach. Therefore, the strategy will need to take into account the cyclical aspects of any economy and the resulting shifts in the composition and quality of the overall credit portfolio. Although the strategy should be periodically assessed and amended, it should be viable in the long-run and through various economic cycles.
5. The credit risk strategy and policies should be effectively communicated throughout the banking organisation. All relevant personnel should clearly understand the bank’s approach to granting and managing credit and should be held accountable for complying with established policies and procedures.
6. The board should ensure that senior management is fully capable of managing the credit activities conducted by the bank and that such activities are done within the risk strategy, policies and tolerances approved by the board. The board should also regularly (ie at least annually), either within the credit risk strategy or within a statement of credit policy, approve the bank’s overall credit-granting criteria (including general terms and conditions). In addition, it should approve the manner in which the bank will organise its credit-granting functions, including independent review of the credit-granting and management function and the overall portfolio.
7. While members of the board of directors, particularly outside directors, can be important sources of new business for the bank, once a potential credit is introduced, the bank’s established processes should determine how much and at what terms credit is granted. In order to avoid conflicts of interest, it is important that board members not override the credit-granting and monitoring processes of the bank. Board members with conflicts of interest are excluded from the approval process for granting and managing related-party transactions.
8. The board of directors should ensure that the bank’s remuneration policies do not contradict its credit risk strategy. Remuneration policies that reward unacceptable behaviour such as generating short-term profits while deviating from credit policies or exceeding established limits weaken the bank’s credit processes.",0.9662
17,8,"Principle 8: Banks should have in place a system for the ongoing administration of their various credit risk-bearing portfolios.
49. Credit administration is a critical element in maintaining the safety and soundness of a bank. Once a credit is granted, it is the responsibility of the business unit, often in conjunction with a credit administration support team, to ensure that the credit is properly maintained. This includes keeping the credit file up to date, obtaining current financial information, sending out renewal notices and preparing various documents such as loan agreements.
50. Given the wide range of responsibilities of the credit administration function, its organisational structure varies with the size and sophistication of the bank. In larger banks, responsibilities for the various components of credit administration are usually assigned to different departments. In smaller banks, a few individuals might handle several of the functional areas. Where individuals perform such sensitive functions as custody of key documents, wiring out funds, or entering limits into the computer database, they should report to managers who are independent of the business origination and credit approval processes.
51. In developing their credit administration areas, banks should ensure:
• the efficiency and effectiveness of credit administration operations, including monitoring documentation, contractual requirements, legal covenants, collateral, etc.;
• the accuracy and timeliness of information provided to management information systems;
• adequate segregation of duties;
• the adequacy of controls over all “back office” procedures; and • compliance with prescribed management policies and procedures as well as applicable laws and regulations.
52. For the various components of credit administration to function appropriately, senior management must understand and demonstrate that it recognises the importance of this element of monitoring and controlling credit risk.
53. The credit files should include all of the information necessary to ascertain the current financial condition of the borrower or counterparty as well as sufficient information to track the decisions made and the history of the credit. For example, the credit files should include current financial statements, financial analyses and internal rating documentation, internal memoranda, reference letters, and appraisals. The loan review function should determine that the credit files are complete and that all loan approvals and other necessary documents have been obtained.",12,8,"Principle 8: Banks should have in place a system for the ongoing administration of their various credit risk-bearing portfolios.
Reference documents: BCP40.40.
37. Credit administration is a critical element in maintaining the safety and soundness of a bank.
Once a credit is granted, it is the responsibility of the business unit, often in conjunction with a credit administration support team, to ensure that the credit is properly maintained. This includes keeping the credit file up to date, obtaining current financial information, sending out renewal notices and preparing various documents such as loan agreements.
38. Given the wide range of responsibilities of the credit administration function, its organisational structure varies with the size and sophistication of the bank. In larger banks, responsibilities for the various components of credit administration are usually assigned to different departments.
In smaller banks, a few individuals might handle several of the functional areas. Where individuals perform such sensitive functions as custody of key documents, wiring out funds or entering limits into the computer database, they should report to managers who are independent of the business origination and credit approval processes.
39. Bank’s credit administration should ensure:
the efficiency and effectiveness of credit administration operations, including continued
− analysis of a borrower's ability and willingness to make all payments associated with the contractual arrangements (including reviews of the performance of underlying assets, eg for securitisation exposures or project finance), monitoring documentation, contractual requirements, legal covenants, collateral, etc;
the accuracy and timeliness of information provided to management information systems;
− adequate segregation of duties;
− the adequacy of controls over all “back office” procedures; and − compliance with prescribed management policies and procedures as well as applicable laws
− and regulations.
40. For the various components of credit administration to function appropriately, senior management must understand and demonstrate that it recognises the importance of this element of monitoring and controlling credit risk.
41. The credit files should include all of the information necessary to ascertain the current financial condition of the borrower or counterparty as well as sufficient information to track the decisions made and the history of the credit. For example, the credit files should include current financial statements, financial analyses and internal risk rating documentation, internal memoranda, reference letters and appraisals. The loan review function should determine that the credit files are complete and that all loan approvals and other necessary documents have been obtained.",0.9596
7,2,"Principle 2: Senior management should have responsibility for implementing the credit risk strategy approved by the board of directors and for developing policies and procedures for identifying, measuring, monitoring and controlling credit risk. Such policies and procedures should address credit risk in all of the bank’s activities and at both the individual credit and portfolio levels.",7,2,"Principle 2: Senior management should have responsibility for implementing the credit risk strategy approved by the board of directors and for developing policies and procedures for identifying, measuring, evaluating, monitoring, reporting and controlling or mitigating credit risk (including counterparty credit risk). Such policies and procedures should address credit risk in all of the bank’s activities and at both the individual credit and portfolio levels.
Reference documents: BCP40.39, BCP40.40, BCP40.41, BCP40.43, BCP40.44, BCP40.48, BCP40.49 and BCBS
Guidance on credit risk and accounting for expected credit losses (December 2015) .
9. Senior management is responsible for ensuring that the bank’s credit-granting activities conform to the established credit risk strategy, that written procedures are developed and implemented, and that loan approval and review responsibilities are clearly and properly assigned. Senior management must also ensure that there is a periodic independent internal assessment of the bank’s credit-granting and management functions. [1]
Footnotes
[1] This may be difficult for very small banks; however, there should be adequate checks and balances in place to promote sound credit decisions.
10. Banks should design and implement written policies and sound procedures related to identifying, measuring, evaluating, monitoring, reporting and controlling or mitigating credit risk (including counterparty credit risk). Credit risk policies establish the framework for lending and guide the credit-granting activities of the bank. Credit risk policies should address such topics as target markets, portfolio mix, price and non-price terms, the structure of limits, approval authorities, exception processing/reporting, etc. Such policies should be clearly defined, consistent with prudent banking practices and relevant regulatory requirements, and adequate for the nature and complexity of the bank’s activities. The policies should be designed and implemented considering current and forward-looking internal and external conditions such as the bank’s market position, trade area, staff capabilities and technology. Policies and procedures that are properly developed and implemented enable the bank to:
(i) maintain sound and prudent credit-granting standards;
(ii) prudently measure, administer, evaluate, monitor, report, control and mitigate credit risk;
(iii) properly evaluate new business opportunities; and (iv) identify and manage problem exposures at an early stage.
11. Implemented credit risk policies and procedures should ensure that the credit portfolio is adequately diversified given the bank’s target markets and overall credit risk strategy. Such policies should establish targets for portfolio mix as well as set exposure limits on single counterparties and groups of connected counterparties, considering industries or economic sectors, geographic regions and specific products. Banks should ensure that their own internal exposure limits comply with any prudential limits or restrictions set by the banking supervisors.
12. Credit risk policies should be communicated throughout the organisation, implemented through appropriate procedures, monitored and periodically revised to take into account changing internal and external circumstances. They should be applied, where appropriate, on a consolidated bank basis and at the level of individual affiliates. In addition, the policies should address equally the important functions of reviewing credits on an individual basis and ensuring appropriate diversification at the portfolio level.
13. Banks that engage in granting credit internationally undertake, in addition to standard credit risk, risks associated with conditions in the home country of a foreign borrower or counterparty, including country risk and transfer risk.[2] In all instances of international transactions, banks should understand the globalisation of financial markets and the potential for spillover effects from one country to another or contagion effects for an entire region.
Footnotes
[2] See BCP40.48, footnotes 62 and 63, for definitions of country risk and transfer risk, respectively.
14. Banks that engage in granting credit internationally must therefore have adequate policies and procedures for identifying, measuring, evaluating, monitoring, reporting and controlling or mitigating country risk and transfer risk in their international lending and investment activities on a timely basis. The monitoring of country risk factors should incorporate (i) the potential default of foreign private sector counterparties arising from country-specific economic factors and (ii) the enforceability of loan agreements and the timing and ability to realise collateral under the national legal framework.",0.9595
8,14,"Principle 14: Banks must establish a system of independent, ongoing assessment of the bank’s credit risk management processes and the results of such reviews should be communicated directly to the board of directors and senior management.",17,13,"Principle 13: Banks must establish a system of independent, ongoing assessment of the bank’s credit risk management processes, and the results of such reviews should be communicated directly to the board of directors and senior management.
Reference documents: BCP40.35, BCP40.42, SRP30.11, SRP30.19, SRP36, BCBS Framework for Internal
Control Systems in Banking Organisations (October 1998).
59. Because various appointed individuals throughout a bank have the authority to grant credit, the bank should have an efficient internal review and reporting system in order to manage effectively the bank’s various portfolios. This system should provide the board of directors and senior management with sufficient information to evaluate the performance of account officers and approval officers and the condition of the credit portfolio.
60. Internal credit reviews conducted by individuals independent from the business function provide an important assessment of individual credits and the overall quality of the credit portfolio. Such a credit review function can help evaluate the overall credit administration process, determine the accuracy of internal risk ratings and judge whether the account officer is properly monitoring individual credits. The credit review function should report directly to the board of directors, a committee with audit responsibilities or senior management without lending authority (eg senior management within the risk control function).",0.9512
7,7,"Principle 7: All extensions of credit must be made on an arm’s-length basis. In particular, credits to related companies and individuals must be authorised on an exception basis, monitored with particular care and other appropriate steps taken to control or mitigate the risks of non-arm’s length lending.",12,7,"Principle 7: All extensions of credit must be made on an arm’s-length basis. In particular, credits to related companies and individuals must be authorised on an exception basis and monitored with particular care, and other steps to control or mitigate the risks of non-arm’s length lending must be taken as appropriate.
Reference documents: BCP40.46 and BCP40.47.",0.9482
7,4,"Principle 4: Banks must operate within sound, well-defined credit-granting criteria.
These criteria should include a clear indication of the bank’s target market and a thorough understanding of the borrower or counterparty, as well as the purpose and structure of the credit, and its source of repayment.",8,4,"Principle 4: Banks must operate within sound, well-defined credit-granting criteria. These criteria should include a clear indication of the bank’s target market and a thorough understanding of the risk profile and characteristics of the borrower or counterparty, as well as the purpose and structure of the credit, and its source of repayment.
Reference documents: BCP40.40, BCP40.41, BCP40.43, BCP40.66 and BCP40.67, CRE22, BCBS Guidance on credit risk and accounting for expected credit losses (December 2015), BCBS Prudential treatment of problem assets – definitions of non-performing exposures and forbearance (April 2017) and Guidelines for counterparty credit risk management (December 2024).
18. Establishing sound, well-defined credit-granting criteria is essential to approving credit in a safe and sound manner. The criteria should set out who is eligible for credit and for how much, what types of credit are available, and under what terms and conditions the credits should be granted.
19. Banks must receive sufficient information to ensure a thorough understanding of the risk profile and characteristics of the borrowers (and, in the case of securitisation exposures, all features of securitisation transactions) that would materially impact the performance of the respective exposures. Depending on the type of credit exposure and the nature of the credit relationship to date, the factors to be considered and documented in approving credits include:
the purpose of the credit and sources of repayment;
− the current risk profile (including the nature and aggregate amounts of risks) of the borrower
− or counterparty and collateral and its sensitivity to economic and market developments;
the borrower’s repayment history and current capacity to repay, based on historical financial
− trends and future cash flow projections, under various scenarios;
for securitisation exposures, all features of securitisation transactions;
− for commercial credits, the borrower’s business expertise and the status of the borrower’s
− economic sector and its position within that sector;
the proposed terms and conditions of the credit, including covenants designed to limit
− changes in the future risk profile of the borrower or counterparty; and where applicable, the adequacy and enforceability of collateral or guarantees, including
− under various scenarios.
In addition, in approving borrowers or counterparties for the first time, consideration should be given to the integrity and reputation of the borrower or counterparty as well as their legal capacity to assume the liability. Once credit-granting criteria have been established, it is essential for the bank to ensure that the information it receives is sufficient to make proper credit-granting decisions. This information will also serve as the basis for rating the credit under the bank’s internal risk rating system.
20. Banks need to understand to whom they are granting credit. Therefore, prior to entering into any new credit relationship, banks must become familiar with the borrower or counterparty and be confident that they are dealing with an individual or organisation of sound repute and creditworthiness. In particular, strict policies must be in place to avoid association with individuals involved in fraudulent activities and other crimes. This can be achieved through a number of ways, including asking for references from known parties, accessing credit registries, and becoming familiar with individuals responsible for managing a company and checking their personal references and financial condition. However, a bank should not grant credit simply because the borrower or counterparty is familiar to the bank or is perceived to be highly reputable.
21. Banks should have procedures to identify situations where, in considering credits, it is appropriate to classify a group of obligors as connected counterparties and, thus, as a single obligor. This would include aggregating exposures to groups of accounts exhibiting financial interdependence, including corporate or non-corporate, where they are under common ownership or control or with strong connecting links (for example, common management, familial ties).[3] Banks should also have procedures for aggregating exposures to individual clients across business activities.
Footnotes
[3] See BCP40 - The Core Principles and assessment criteria, footnote 52, for a specification of connected counterparties.
22. Many banks participate in loan syndications or other such loan consortia. Some institutions place undue reliance on the credit risk analysis done by the lead underwriter or on external commercial loan credit ratings. All syndicate participants should perform their own due diligence, including independent credit risk analysis and review of syndicate terms prior to committing to the syndication. Each bank should analyse the risk and return on syndicated loans in the same manner as directly sourced loans.
23. Granting credit involves accepting risks as well as producing profits. Banks should assess the risk/reward relationship in any credit as well as the overall profitability of the account relationship.
In evaluating whether, and on what terms, to grant credit, banks need to assess the risks against expected return, factoring in, to the greatest extent possible, price and non-price (eg collateral, restrictive covenants, etc) terms. In evaluating risk, banks should also assess likely downside scenarios and their possible impact on borrowers or counterparties. A common problem among banks is the tendency not to price a credit or overall relationship properly and therefore not receive adequate compensation for the risks incurred.
24. In considering potential credits, banks must recognise the necessity of establishing provisions for identified and expected losses and holding adequate capital to absorb unexpected losses. The bank should factor these considerations into credit-granting decisions, as well as into the overall portfolio risk management process.[4]
Footnotes
[4] Guidance on credit categorisation and provisioning is available in the documents Guidance on credit risk and accounting for expected credit losses (December 2015) and Prudential treatment of problem assets – definitions of non-performing exposures and forbearance (April 2017).
25. Banks can utilise transaction structure, collateral and guarantees to help mitigate risks (both identified and inherent) in individual credits but transactions should be entered into primarily on the strength of the borrower’s repayment capacity or the counterparty’s financial position.
Collateral cannot be a substitute for a comprehensive assessment of the borrower or counterparty, nor can it compensate for insufficient information. It should be recognised that any credit enforcement actions (eg foreclosure proceedings) can eliminate the profit margin on the transaction. In addition, banks need to be mindful that the value of collateral may well be impaired by the same factors that have led to the diminished recoverability of the credit. Banks should have policies covering the acceptability of various forms of collateral, procedures for the ongoing valuation of such collateral, and a process to ensure that collateral is, and continues to be, enforceable and realisable. With regard to guarantees, banks should evaluate the level of coverage being provided in relation to the credit-quality and legal capacity of the guarantor.
Banks should be careful when making assumptions about implied support from third parties such as the government.
26. Netting agreements are an important way to reduce credit risks, especially in interbank transactions. In order to actually reduce risk, such agreements need to be sound and legally enforceable. [5]
Footnotes
[5] Requirements for recognising netting agreements for minimum risk-based capital requirements are set out in CRE22 - Standardised approach: credit risk mitigation.
Additional requirements for netting arrangements in the context of counterparty credit risk are set out in CRE52 - Standardised approach to counterparty credit risk and CRE53 -
Internal models method for counterparty credit risk.
27. Where actual or potential conflicts of interest exist within the bank, internal confidentiality arrangements (eg “Chinese walls”) should be established to ensure that there is no hindrance to the bank obtaining all relevant information from the borrower.",0.9149
